Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
419617.000007153,23473463.3283091,13152030.8720878,-10669252.703667,20039434.4064225,62004.4038161222,7.49481145,1
419617.000007153,23584322.7467866,-5629543.41760956,-24549389.6576703,-8205908.48902813,173242.279664559,2.99792458,6
419617.000007153,21729661.1151586,-22769124.1855909,-12938210.9243059,4846343.90308821,145223.267326269,1.49896229,13
419617.000007153,21616871.8422008,4380420.96698278,-18001818.3947048,18987921.4305341,-4253.00901022459,1.49896229,14
419617.000007153,22816383.6158242,-24622594.3458309,-1808230.9716718,9690715.40667076,5413.88122873781,2.99792458,15
419617.000007153,20459888.343235,-15304271.0732414,-19226671.9202166,10195341.7751493,85382.2603478665,1.49896229,19
419617.000007153,23349881.1654801,-14760093.2509581,6343365.78445433,20745797.4381935,-28688.0068825927,2.99792458,24
419617.000007153,22509894.1339211,-908931.14855854,-26385320.0357805,981060.800730528,-158417.674443903,2.99792458,30
419618.000007153,23473677.7565846,13152136.0921572,-10666633.4342451,20040772.9698206,62004.4013915503,7.49481145,1
419618.000007153,23583607.985868,-5629365.59185127,-24550442.3668014,-8202896.23304219,173242.280455235,2.99792458,6
419618.000007153,21730018.4956179,-22769490.901514,-12938777.3619862,4843239.88288692,145223.269337009,1.49896229,13
419618.000007153,21617157.7465682,4382611.09557337,-18002855.6635224,18986419.178694,-4253.00623021911,1.49896229,14
419618.000007153,22816598.0440998,-24623682.8460097,-1808996.14044969,9687962.55290466,5413.88207379713,2.99792458,15
419618.000007153,20459530.9627757,-15303080.9151668,-19226073.9161779,10198164.7907273,85382.2620515555,1.49896229,19
419618.000007153,23349237.8806534,-14760466.4867604,6340657.67102859,20746392.0553706,-28688.0127763802,2.99792458,24
419619.000007153,23473892.1848602,13152241.4737686,-10664014.0017912,20042111.0909304,62004.3989670179,2.99792458,1
419619.000007153,23582893.2249494,-5629187.82928259,-24551494.7058089,-8199883.80111019,173242.281245929,2.99792458,6
419619.000007153,21730447.352169,-22769857.3410316,-12939343.5410118,4840135.7612054,145223.271347839,1.49896229,13
419619.000007153,21617443.6509356,4384801.0022931,-18003892.9632719,18984916.5215031,-4253.00345025004,1.49896229,14
419619.000007153,22816812.4723754,-24624771.062665,-1809761.12099533,9685209.49211647,5413.88291907195,2.99792458,15
419619.000007153,20459245.0584083,-15301890.4283146,-19225475.7805985,10200987.5897257,85382.2637551136,1.49896229,19
419619.000007153,23348523.1197348,-14760839.8704722,6337949.50527065,20746986.2149324,-28688.0186700703,2.99792458,24
419619.000007153,22510894.7992072,-908165.055236005,-26385553.7076422,974795.924155478,-158417.674625756,2.99792458,30
419620.000007153,23474106.6131358,13152347.0173154,-10661394.4059153,20043448.7697231,62004.3965425252,2.99792458,1
419620.000007153,23582178.4640307,-5629010.12899861,-24552546.6748627,-8196871.19329699,173242.282036641,2.99792458,6
419620.000007153,21730804.7326283,-22770223.5033766,-12939909.4632681,4837031.5366294,145223.273358759,1.49896229,13
419620.000007153,21617729.5553031,4386990.68772847,-18004930.2937515,18983413.4589928,-4253.00067031738,1.49896229,14
419620.000007153,22817026.900651,-24625858.9956924,-1810525.91419414,9682456.22436639,5413.88376456229,1.49896229,15
419620.000007153,20458887.677949,-15300699.6107786,-19224877.5143133,10203810.17343,85382.2654585414,1.49896229,19
419620.000007153,23347879.834908,-14761213.4019178,6335241.28853909,20747579.9165837,-28688.0245636602,2.99792458,24
419620.000007153,22511395.1318502,-907782.011721335,-26385669.9822204,971663.454216533,-158417.674716754,2.99792458,30
419621.000007153,23474392.5175033,13152452.7225225,-10658774.6476459,20044786.0058508,62004.3941180727,2.99792458,1
419621.000007153,23581463.7031121,-5628832.49114833,-24553598.273891,-8193858.4096673,173242.282827371,2.99792458,6
419621.000007153,21731162.1130877,-22770589.3887497,-12940475.1280713,4833927.20996481,145223.275369769,1.49896229,13
419621.000007153,21618015.4596705,4389180.15169312,-18005967.6549474,18981909.9911948,-4252.99789042114,1.49896229,14
419621.000007153,22817241.3289266,-24626946.6450652,-1811290.51987508,9679702.74971453,5413.88461026814,1.49896229,15
419621.000007153,20458530.2974896,-15299508.4633319,-19224279.1171304,10206632.5411064,85382.2671618387,1.49896229,19
419621.000007153,23347236.5500813,-14761587.0812468,6332533.02011882,20748173.1604546,-28688.0304571513,2.99792458,24
419621.000007153,22511895.4644933,-907398.970148845,-26385785.8825626,968530.96326673,-158417.674807799,2.99792458,30
419622.000007153,23474606.9457788,13152558.5897435,-10656154.7254547,20046122.7999222,62004.3916936593,2.99792458,1
419622.000007153,21731519.493547,-22770954.997218,-12941040.5352617,4830822.7812774,145223.27738087,1.49896229,13
