Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
421451.000007391,22433915.0482721,-5354695.46291571,-25838101.4138932,-2453615.11550428,173243.837071897,2.99792458,6
421451.000007391,22267232.8020506,7989266.72127491,-19902804.5806312,15587908.7975777,-4248.0265997488,2.99792458,14
421451.000007391,20981663.8138256,-1702144.82457966,-16551767.8657968,21112258.4915125,210822.017875335,2.99792458,17
421451.000007391,20103008.2165694,-12572097.188149,-17967624.0004263,14949781.8144903,85385.1485115712,2.99792458,19
421451.000007391,23616201.0837569,-160790.46053984,-25974056.2709827,-4729819.05113026,-158418.027503329,2.99792458,30
421452.000007391,22433271.7634454,-5354543.32783413,-25838446.3735078,-2450392.08954683,173243.83790497,2.99792458,6
421452.000007391,22267590.1825099,7990995.43737913,-19903810.1287319,15585724.9419465,-4248.02388158027,2.99792458,14
421452.000007391,20982021.1942849,-1699774.53908858,-16550745.9516274,21113281.2595175,210822.019749295,2.99792458,17
421452.000007391,20102865.2643857,-12570313.7231732,-17966880.7145275,14952111.7998191,85385.1499717004,2.99792458,19
421452.000007391,23616844.3685837,-160331.03199199,-25973495.5194288,-4732876.51459417,-158418.027660946,2.99792458,30
421453.000007391,22432628.4786186,-5354391.16513206,-25838790.937558,-2447169.01109628,173243.83873807,2.99792458,6
421453.000007391,22267947.5629692,7992723.87202924,-19904815.6116692,15583540.75293,-4248.02116344238,2.99792458,14
421453.000007391,20982307.0986524,-1697404.08319978,-16549724.1308293,21114303.5944988,210822.021623344,2.99792458,17
421453.000007391,20102722.312202,-12568529.9544105,-17966137.3971877,14954441.4662992,85385.1514316962,2.99792458,19
421453.000007391,23617416.1773186,-159871.526813145,-25972934.410206,-4735933.87624971,-158418.027818589,2.99792458,30
421454.000007391,22431985.1937919,-5354238.96085329,-25839135.1089248,-2443945.88022169,173243.839571199,2.99792458,6
421454.000007391,22636692.7208838,-22937214.4932871,-13581870.4657421,-959653.683742931,145227.068591163,2.99792458,13
421454.000007391,22268304.9434285,7994452.03591536,-19905821.0250871,15581356.2305748,-4248.01844533514,2.99792458,14
421454.000007391,20982593.0030198,-1695033.44891171,-16548702.4045727,21115325.4961927,210822.023497482,2.99792458,17
421454.000007391,20102579.3600183,-12566745.8722182,-17965394.0552251,14956770.8138795,85385.1528915585,2.99792458,19
421454.000007391,23618059.4621453,-159411.932107101,-25972372.9436836,-4738991.13457268,-158418.027976256,2.99792458,30
421455.000007391,22431413.385057,-5354086.72383326,-25839478.8856917,-2440722.69776064,173243.840404355,2.99792458,6
421455.000007391,22637193.0535269,-22937012.0038758,-13582027.3576633,-962833.347334418,145227.070789583,2.99792458,13
421455.000007391,22268590.847796,7996179.92330334,-19906826.3716294,15579171.3744062,-4248.01572725788,2.99792458,14
421455.000007391,20982950.3834791,-1692662.64251025,-16547680.7725616,21116346.964336,210822.025371708,2.99792458,17
421455.000007391,20102436.4078345,-12564961.4824636,-17964650.6846069,14959099.8425093,85385.1543512874,2.99792458,19
421455.000007391,23618631.2708802,-158952.255155127,-25971811.1195685,-4742048.2909546,-158418.028133948,2.99792458,30
421456.000007391,22430770.1002302,-5353934.44933855,-25839822.2689771,-2437499.46224528,173243.841237539,2.99792458,6
421456.000007391,22637693.3861699,-22936809.1770583,-13582184.0668736,-966012.990700621,145227.072988079,2.99792458,13
421456.000007391,22268948.2282553,7997907.53551493,-19907831.6498911,15576986.1855125,-4248.01300921189,2.99792458,14
421456.000007391,20983236.2878466,-1690291.65996489,-16546659.2346529,21117367.9993959,210822.027246024,2.99792458,17
421456.000007391,20102293.4556508,-12563176.7825926,-17963907.287192,14961428.5521376,85385.1558108829,2.99792458,19
421456.000007391,23619274.555707,-158492.493308377,-25971248.938167,-4745105.34387138,-158418.028291664,2.99792458,30
421457.000007391,22430126.8154035,-5353782.13944298,-25840165.2582658,-2434276.17451318,173243.842070751,2.99792458,6
421457.000007391,22638193.7188129,-22936606.0136758,-13582340.5919615,-969192.613775183,145227.075186651,2.99792458,13
421457.000007391,22269305.6087146,7999634.87202418,-19908836.8604247,15574800.6634192,-4248.01029119654,2.99792458,14
421457.000007391,20983522.192214,-1687920.50323093,-16545637.7909952,21118388.6011091,210822.029120428,2.99792458,17
421457.000007391,20102221.9795589,-12561391.7745091,-17963163.8621955,14963756.9421583,85385.1572703446,2.99792458,19
421457.000007391,23619846.3644419,-158032.647051814,-25970686.3992277,-4748162.29471446,-158418.028449406,2.99792458,30
421458.000007391,22429483.5305767,-5353629.79241104,-25840507.853906,-2431052.83463342,173243.842903991,2.99792458,6
421458.000007391,22638694.051456,-22936402.5128225,-13582496.9344663,-972372.216491133,145227.0773853,2.99792458,13
421458.000007391,22269662.9891739,8001361.93410817,-19909842.0026533,15572614.8081728,-4248.0075732118,2.99792458,14
421458.000007391,20983879.5726733,-1685549.17213493,-16544616.4419543,21119408.7692126,210822.030994921,2.99792458,17
421458.000007391,20102079.0273752,-12559606.4555924,-17962420.4105726,14966085.0136309,85385.1587296732,2.99792458,19
421458.000007391,23620489.6492686,-157572.71577352,-25970123.5030447,-4751219.14195984,-158418.028607172,2.99792458,30
421459.000007391,22428840.24575,-5353477.40855235,-25840850.0558226,-2427829.4426751,173243.843737258,2.99792458,6
421459.000007391,22639265.8601909,-22936198.6749523,-13582653.0936759,-975551.798023684,145227.079584024,2.99792458,13
421459.000007391,22270020.3696332,8003088.72146791,-19910847.0766328,15570428.6198198,-4248.00485525769,2.99792458,14
421459.000007391,20984165.4770408,-1683177.66525434,-16543595.1871198,21120428.5041732,210822.032869503,2.99792458,17
421459.000007391,20101936.0751915,-12557820.8268573,-17961676.93216,14968412.7659491,85385.1601888685,2.99792458,19
421459.000007391,23621132.9340954,-157112.699234491,-25969560.2495055,-4754275.88627007,-158418.028764963,2.99792458,30
421460.000007391,22428196.9609232,-5353324.98978316,-25841191.8636075,-2424605.99870732,173243.844570554,2.99792458,6
