Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
421366.000003099,22588088.9784179,-22953716.8203034,-13567339.7775021,-679771.965110714,145226.875429357,2.99792458,13
421366.000003099,22234711.1802535,7841322.79141485,-19817091.3095924,15772313.0956278,-4248.25775646151,2.99792458,14
421366.000003099,20951858.2835193,-1902974.45321533,-16638970.1867955,21023741.7315144,210821.858916165,2.99792458,17
421366.000003099,20111513.871501,-12722557.4911157,-18030697.4634942,14750573.1023134,85385.0239128108,2.99792458,19
421367.000003099,22588589.3110609,-22953543.8912034,-13567513.0035965,-682953.147024879,145226.877621043,2.99792458,13
421367.000003099,22235068.5607128,7843074.81640069,-19818102.4093538,15770157.7465694,-4248.25503567465,2.99792458,14
421367.000003099,20952215.6639786,-1900619.21554061,-16637940.4254146,21024801.2539504,210821.860782481,2.99792458,17
421367.000003099,20111370.9193172,-12720800.4266102,-18029956.7076132,14752930.0029179,85385.025384285,2.99792458,19
421368.000003099,22589089.6437039,-22953370.6277245,-13567686.0411435,-686134.314590894,145226.879812806,2.99792458,13
421368.000003099,22235354.4650803,7844826.56789839,-19819113.4466063,15768002.0596941,-4248.25231491809,2.99792458,14
421368.000003099,20952501.568346,-1898263.79859407,-16636910.7542797,21025860.3450863,210821.862648888,2.99792458,17
421368.000003099,20111227.9671335,-12719043.0512992,-18029215.9191048,14755286.5890269,85385.0268556258,2.99792458,19
421369.000003099,22589589.976347,-22953197.0293482,-13567858.8910272,-689315.467741736,145226.882004647,2.99792458,13
421369.000003099,22235711.8455396,7846578.0450872,-19820124.4207981,15765846.0360757,-4248.24959419315,2.99792458,14
421369.000003099,20952787.4727135,-1895908.20266859,-16635881.1737155,21026919.0046491,210821.864515386,2.99792458,17
421369.000003099,20111085.0149498,-12717285.3645474,-18028475.0984886,14757642.8605889,85385.028326833,2.99792458,19
421370.000003099,22481589.6015439,-5366903.72563803,-25808851.8350231,-2714499.50857073,173243.769684976,2.99792458,6
421370.000003099,22590161.7850819,-22953023.0954484,-13568031.5543429,-692496.605652516,145226.884196563,2.99792458,13
421370.000003099,22236069.2259989,7848329.24999594,-19821135.3314681,15763689.675246,-4248.24687349916,2.99792458,14
421370.000003099,20953144.8531728,-1893552.42758544,-16634851.6841,21027977.2323658,210821.866381975,2.99792458,17
421370.000003099,20110942.0627661,-12715527.3652079,-18027734.2466451,14759998.8175524,85385.0297979067,2.99792458,19
421370.000003099,22356292.0125103,-15638704.1559358,1576920.00879831,21078812.9408643,-28698.2639160012,7.49481145,24
421370.000003099,23563523.2040548,-197727.538118782,-26018288.0260747,-4481830.07383158,-158418.01482004,2.99792458,30
421371.000003099,22480946.3167171,-5366754.32337286,-25809228.6940419,-2711280.9639079,173243.770515811,2.99792458,6
421371.000003099,22590662.1177249,-22952848.8268442,-13568204.029654,-695677.729773153,145226.886388557,2.99792458,13
421371.000003099,22236426.6064582,7850080.18056388,-19822146.1793681,15761532.977251,-4248.24415283612,2.99792458,14
421371.000003099,20953430.7575402,-1891196.47340517,-16633822.2848556,21029035.0287206,210821.868248655,2.99792458,17
421371.000003099,20110799.1105824,-12713769.0551598,-18026993.3623205,14762354.4598661,85385.031268847,2.99792458,19
421371.000003099,22355720.2037754,-15639329.2670924,1574224.27188719,21078596.5082251,-28698.2695980701,7.49481145,24
421371.000003099,23564166.4888816,-197274.804080636,-26017756.299725,-4484895.62239796,-158418.014975602,2.99792458,30
421372.000003099,22480374.5079823,-5366604.89018485,-25809605.1590555,-2708062.36192652,173243.771346673,2.99792458,6
421372.000003099,22591162.4503679,-22952674.2232739,-13568376.3174392,-698858.839278347,145226.888580628,2.99792458,13
421372.000003099,22236783.9869175,7851830.83752566,-19823156.9641432,15759375.9421362,-4248.24143220402,2.99792458,14
421372.000003099,20953716.6619077,-1888840.34039543,-16632792.9763096,21030092.3934407,210821.870115426,2.99792458,17
421372.000003099,20110656.1583986,-12712010.4337404,-18026252.4460537,14764709.7874784,85385.0327396537,2.99792458,19
421372.000003099,22355219.8711324,-15639954.5115341,1571528.60097523,21078379.6134636,-28698.2752799963,7.49481145,24
421372.000003099,23564738.2976165,-196821.988764143,-26017224.2140994,-4487961.07453626,-158418.015131189,2.99792458,30
421373.000003099,22479731.2231555,-5366455.4252422,-25809981.230389,-2704843.70116086,173243.772177563,2.99792458,6
