Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
418939.445282923,21404509.6374955,2847725.21627601,-17308615.1597289,19911028.9455785,-4254.90110737007,2.99792458,14
418939.445282923,22664370.9649464,-23822129.8368047,-1245182.87332877,11505236.1342812,5413.35806811203,7.195018992,15
418939.445282923,20345160.3161859,-6987333.21165989,-19291051.9812968,17242963.3505608,210817.675352459,4.796679328,17
418939.445282923,20681717.8145706,-16035059.7422588,-19598818.6364491,8236152.14729854,85381.0762279548,5.696056702,19
418939.445282923,25622637.7989985,15292449.2188283,-2639898.03784947,22088091.5450151,46227.1992400167,87.539397736,21
418939.445282923,23771577.6480088,-14540966.4242508,8162879.52866188,20238388.799006,-28683.9922236645,15.889000274,24
418939.445282923,22152159.3653915,-1171491.45380536,-26220277.2156312,3095073.09705895,-158417.624343781,5.096471786,30
418940.445282923,23310892.4929887,13116648.4689829,-12400451.2565488,19034042.3531783,62006.0518312172,4.197094412,1
418940.445282923,24027637.1872591,-5766827.23417242,-23753823.9957066,-10200217.2012699,173241.748598435,15.889000274,6
418940.445282923,21466761.7187622,-22459837.4188456,-12494347.7535828,6919561.01885308,145221.927893918,4.197094412,13
418940.445282923,21404779.9413683,2850055.77293277,-17309620.5283195,19909808.1502493,-4254.8983021691,3.297717038,14
418940.445282923,22664519.2568968,-23823400.4717556,-1246081.50172717,11502637.1739427,5413.35876777723,7.195018992,15
418940.445282923,20345271.7532764,-6985533.99825448,-19289946.634584,17244989.4421323,210817.676930629,4.197094412,17
418940.445282923,20681320.5080131,-16034091.9715178,-19598322.1996993,8239107.32043134,85381.0780190279,5.096471786,19
418940.445282923,23770908.1180546,-14541240.633304,8160221.85216595,20239290.3204813,-28683.9981781188,13.790453068,24
418940.445282923,22152622.145166,-1171095.82256558,-26220646.4148739,3091970.5119926,-158417.624399965,5.696056702,30
418941.445282923,23311054.9545159,13116650.0190328,-12397957.6449788,19035672.9801593,62006.0493861238,4.197094412,1
418941.445282923,24026912.5844176,-5766595.55129259,-23755120.4263497,-10197338.6066807,173241.749378133,23.98339664,6
418941.445282923,21467074.4266641,-22460381.3088261,-12495095.3565143,6916541.12972049,145221.929842431,5.096471786,13
418941.445282923,21405044.9752753,2852386.13741788,-17310625.9596468,19908586.9301619,-4254.89549700597,3.297717038,14
418941.445282923,22664676.3437569,-23824670.8532108,-1246979.92468128,11500037.9668147,5413.35946765572,7.195018992,15
418941.445282923,20345372.4759332,-6983734.51601512,-19288841.2534842,17247015.1766755,210817.678508945,4.796679328,17
418941.445282923,20680920.8631264,-16033123.875067,-19597825.5946023,8242062.31960974,85381.0798099737,5.096471786,19
418941.445282923,23770247.6622136,-14541514.9859138,8157564.07881199,20240191.3945539,-28684.0041324928,15.889000274,24
418941.445282923,22153105.6906996,-1170700.22620198,-26221015.2449583,3088867.86035284,-158417.624456205,5.696056702,30
418942.445282922,23311214.0656012,13116651.7128938,-12395463.8258345,19037303.1867877,62006.0469410515,4.796679328,1
418942.445282922,24026245.7417969,-5766363.964871,-23756416.5071513,-10194459.793854,173241.750157845,27.880698594,6
418942.445282922,21467396.592584,-22460924.9524803,-12495842.6822926,6913521.09443549,145221.931791037,4.796679328,13
418942.445282922,21405310.776992,2854716.3095335,-17311631.453662,19907365.2853674,-4254.89269188075,3.297717038,14
418942.445282922,22664833.3259156,-23825940.9811629,-1247878.14218529,11497438.5128794,5413.36016774752,6.295641618,15
418942.445282922,20345481.1558893,-6981934.76525187,-19287735.8380621,17249040.5540228,210817.680087404,4.197094412,17
418942.445282922,20680513.9589491,-16032155.4529442,-19597328.8211518,8245017.14481746,85381.0816007925,5.696056702,19
418942.445282922,23769549.3394001,-14541789.48219,8154906.20815023,20241092.0213454,-28684.0100867874,15.889000274,24
418942.445282922,22153565.4690366,-1170304.66444133,-26221383.7059342,3085765.14174786,-158417.624512499,5.696056702,30
418943.445282922,23311377.0506349,13116653.5506485,-12392969.7991828,19038932.9729892,62006.0444960002,4.197094412,1
418943.445282922,24025553.4567588,-5766132.47417327,-23757712.2385884,-10191580.7620514,173241.750937572,30.578830716,6
418943.445282922,21467717.6067896,-22461468.349673,-12496589.7311614,6910500.91295411,145221.933739736,4.796679328,13
418943.445282922,21405579.6150464,2857046.2893107,-17312637.0102982,19906143.2158999,-4254.88988679344,3.297717038,14
418943.445282922,22664996.3458498,-23827210.8555334,-1248776.15435058,11494838.8122462,5413.36086805263,6.295641618,15
418943.445282922,20345591.1271615,-6980134.7458008,-19286630.3884036,17251065.5741797,210817.681666009,4.197094412,17
