Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
420874.434336648,23922740.2638801,13418202.2586105,-7269648.12575148,21364692.0211883,62001.3952046097,9.293566198,1
420874.434336648,22781213.8885847,-5438190.11651412,-25573696.7594381,-4300948.30607924,173243.290087015,20.685679602,6
420874.434336648,25398673.3982238,-23751292.541577,9424883.686327,6773980.96320795,-103941.75260338,46.46783099,12
420874.434336648,22323704.8476954,-22998674.7111647,-13458554.7198263,884392.960234835,145225.864694251,4.197094412,13
420874.434336648,22050381.0402257,6947391.89998369,-19313572.8090436,16790079.8259846,-4249.54120731765,6.295641618,14
420874.434336648,23215671.0522382,-25754601.7460806,-2632668.2538494,6085879.22447418,5415.11414810538,4.197094412,15
420874.434336648,20789009.9897369,-3038091.74083459,-17155253.4643182,20451101.5307304,210820.97500275,3.897301954,17
420874.434336648,20175199.9069602,-13548144.8705252,-18389821.858387,13554967.9798248,85384.2984086462,4.197094412,19
420874.434336648,22618600.1955296,-15345689.5396526,2919511.31565073,21129093.4456929,-28695.3313301021,5.096471786,24
420874.434336648,23248254.3082043,-413074.219814764,-26237226.3386591,-2952056.26992291,-158417.822318514,32.97717038,30
420875.434336647,23923162.768552,13418524.3591968,-7266878.72195948,21365454.954403,62001.3928508695,15.889000274,1
420875.434336647,22780550.8501115,-5438049.55698821,-25574268.3553326,-4297767.00938881,173243.290904905,7.195018992,6
420875.434336647,25398117.0503818,-23750673.4095218,9424179.09899495,6777015.50233431,-103941.754473199,60.857868974,12
420875.434336647,22324225.980998,-22998663.3310567,-13458825.7177729,881212.822831622,145225.866812939,3.597509496,13
420875.434336647,22050744.4933608,6949275.78885644,-19314608.0365794,16788095.6775908,-4249.53847090253,7.195018992,14
420875.434336647,23216040.4733477,-25755304.1329952,-2633223.35757188,6082914.64518432,5415.11526394697,4.796679328,15
420875.434336647,20789318.8585909,-3035830.29995037,-17154184.5442126,20452370.531945,210820.976821727,5.096471786,17
420875.434336647,20175048.9276763,-13546543.3739914,-18389103.6904749,13557473.120357,85384.2999458174,4.796679328,19
420875.434336647,22618042.0677654,-15346246.4736413,2916791.34751912,21129106.6610236,-28695.3370794233,8.094396366,24
420875.434336647,23248905.5503304,-412655.910436877,-26236874.8026086,-2955161.74896566,-158417.822459666,9.293566198,30
420876.434336647,23923628.5846644,13418846.6394495,-7264109.24436166,21366217.4169866,62001.3904972023,18.287339938,1
420876.434336647,22779931.1579791,-5437908.99353317,-25574839.5595509,-4294585.62104594,173243.29172282,4.197094412,6
420876.434336647,22324743.6940579,-22998651.6290395,-13459096.5058599,878032.666849813,145225.868931707,3.297717038,13
420876.434336647,22051102.9906341,6951159.41518312,-19315643.2287406,16786111.1702625,-4249.53573452009,7.195018992,14
420876.434336647,23216395.3758761,-25756006.1920182,-2633778.31713913,6079949.93680852,5415.11638000259,5.096471786,15
420876.434336647,20789624.6213061,-3033568.65692759,-17153115.692584,20453639.1127587,210820.978640807,4.796679328,17
420876.434336647,20174883.9882183,-13544941.5564915,-18388385.4627478,13559977.972558,85384.3014828552,4.796679328,19
420876.434336647,22617496.0853528,-15346803.5487896,2914071.41225045,21129119.4121471,-28695.342828614,9.293566198,24
420876.434336647,23249532.3621516,-412237.542893943,-26236522.8990162,-2958267.16427133,-158417.822600849,9.293566198,30
420877.434336647,23924027.8805467,13419169.0997165,-7261339.69160399,21366979.4092021,62001.3881436074,13.790453068,1
420877.434336647,22779309.3718206,-5437768.42568524,-25575410.3722537,-4291404.14063875,173243.292540761,4.197094412,6
420877.434336647,22325258.0915764,-22998639.6050285,-13459367.0842246,874852.492358972,145225.871050557,3.897301954,13
420877.434336647,22051461.2087038,6953042.77896598,-19316678.3854347,16784126.3040737,-4249.53299817036,8.094396366,14
420877.434336647,23216765.9137996,-25756707.9230585,-2634333.13245185,6076985.09971039,5415.11749627213,5.096471786,15
420877.434336647,20789935.4794849,-3031306.81183767,-17152046.9095156,20454907.2731112,210820.98045999,5.096471786,17
420877.434336647,20174716.9547341,-13543339.4180827,-18387667.1753081,13562482.5362729,85384.3030197594,4.796679328,19
420877.434336647,22616943.8557622,-15347360.7651435,2911351.50961397,21129131.6990659,-28695.3485776746,8.094396366,24
420877.434336647,23250141.7935559,-411819.117085994,-26236170.627905,-2961372.51569773,-158417.822742066,8.094396366,30
420878.434336647,23924476.6652465,13419491.7396532,-7258570.06524849,21367740.9307389,62001.3857900856,20.98547206,1
420878.434336647,22778690.866303,-5437627.8534999,-25575980.7933997,-4288222.56829179,173243.293358726,4.796679328,6
420878.434336647,22325774.9321254,-22998627.259053,-13459637.452806,871672.299486944,145225.873169488,3.597509496,13
420878.434336647,22051819.4965744,6954925.88011959,-19317713.5066259,16782141.0790686,-4249.53026185334,8.094396366,14
420878.434336647,23217136.4517231,-25757409.3261217,-2634887.80360114,6074020.13379862,5415.11861275562,5.096471786,15
420878.434336647,20790248.4665903,-3029044.76474025,-17150978.1950371,20456175.0129904,210820.982279276,5.096471786,17
420878.434336647,20174560.7752853,-13541736.9589614,-18386948.8281612,13564986.8113393,85384.30455653,4.796679328,19
420878.434336647,22616402.1312027,-15347918.1226389,2908631.6399345,21129143.5217807,-28695.3543266046,9.293566198,24
420878.434336647,23250759.3916621,-411400.633241611,-26235817.9893147,-2964477.80291331,-158417.822883314,8.094396366,30
420879.434336648,23924880.3934842,13419814.5595461,-7255800.36416293,21368501.9818219,62001.3834366363,15.889000274,1
420879.434336648,22778067.195521,-5437487.27682511,-25576550.8230171,-4285040.903982,173243.294176716,4.796679328,6
420879.434336648,22326294.3902071,-22998614.5910627,-13459907.6116832,868492.088300679,145225.8752885,3.297717038,13
420879.434336648,22052183.9269217,6956808.71858422,-19318748.5922377,16780155.4953284,-4249.52752556908,8.094396366,14
420879.434336648,23217505.419127,-25758110.4011781,-2635442.33068057,6071055.03911963,5415.11972945309,5.696056702,15
420879.434336648,20790546.9351145,-3026782.51545629,-17149909.5491522,20457442.3324427,210820.984098664,4.796679328,17
420879.434336648,20174399.0815677,-13540134.1789522,-18386230.4213999,13567490.797841,85384.306093167,4.796679328,19
420879.434336648,22615839.3267801,-15348475.621349,2905911.80284759,21129154.8802943,-28695.3600754046,10.49273603,24
420879.434336648,23251367.8458543,-410982.09113701,-26235464.983241,-2967583.0260319,-158417.823024594,9.293566198,30
420880.434336647,23925329.2479849,13420137.5591235,-7253030.58959186,21369262.5622049,62001.3810832602,20.98547206,1
420880.434336647,22777442.8267303,-5437346.6957093,-25577120.4610666,-4281859.14783209,173243.294994731,4.796679328,6
420880.434336647,22326808.8924269,-22998601.6010417,-13460177.5608828,865311.858793797,145225.877407593,2.99792458,13
420880.434336647,22052549.1250786,6958691.29433429,-19319783.6422419,16778169.552864,-4249.52478931754,7.195018992,14
420880.434336647,23217878.9933883,-25758811.1481945,-2635996.71360486,6068089.81580474,5415.12084636449,6.295641618,15
420880.434336647,20790860.2712242,-3024520.06442864,-17148840.9719848,20458709.2313164,210820.985918155,4.796679328,17
420880.434336647,20174238.4697636,-13538531.0781917,-18385511.9550377,13569994.495663,85384.3076296705,4.796679328,19
420880.434336647,22615287.4461939,-15349033.2611694,2903191.99887921,21129165.7746069,-28695.3658240741,8.094396366,24
420880.434336647,23251983.9781422,-410563.490932153,-26235111.6097154,-2970688.18480504,-158417.823165907,8.094396366,30
420881.434336647,23925752.6600681,13420460.7386244,-7250260.74066038,21370022.672053,62001.3787299568,18.287339938,1
420881.434336647,22776818.1438356,-5437206.10998843,-25577689.7075638,-4278677.29990588,173243.295812771,4.197094412,6
420881.434336647,22327331.2123443,-22998588.2889448,-13460447.3004657,862131.611160256,145225.879526767,2.99792458,13
420881.434336647,22052917.9877812,6960573.60740201,-19320818.6565504,16776183.2517313,-4249.52205309873,5.696056702,14
420881.434336647,23218229.5682627,-25759511.5671793,-2636550.95275082,6065124.46363665,5415.12196348993,6.295641618,15
420881.434336647,20791163.2070042,-3022257.41132523,-17147772.4635204,20459975.7096969,210820.987737749,5.096471786,17
420881.434336647,20174076.6713447,-13536927.656589,-18384793.4291906,13572497.9047764,85384.3091660405,4.796679328,19
420881.434336647,22614747.6411583,-15349591.0420985,2900472.22803593,21129176.2047202,-28695.3715726129,8.094396366,24
420881.434336647,23252607.0905173,-410144.832459473,-26234757.8687516,-2973793.279181,-158417.823307252,8.094396366,30
420882.434336648,23926174.3271296,13420784.0979727,-7247490.81776726,21370782.3112897,62001.3763767262,18.287339938,1
420882.434336648,22776204.9082838,-5437065.51973836,-25578258.5624514,-4275495.3603998,173243.296630837,4.796679328,6
420882.434336648,22327847.8783911,-22998574.654725,-13460716.8305166,858951.345327416,145225.881646023,3.297717038,13
420882.434336648,22053274.286327,6962455.65789935,-19321853.6351494,16774196.5918671,-4249.5193169125,7.195018992,14
420882.434336648,23218611.9374338,-25760211.6580159,-2637105.04766079,6062158.98322409,5415.12308082921,7.195018992,15
420882.434336648,20791478.4277375,-3019994.55649361,-17146704.0238652,20461241.7674623,210820.989557446,5.696056702,17
420882.434336648,20173923.0396278,-13535323.9142904,-18384074.8438803,13575001.0250463,85384.3107022768,4.796679328,19
420882.434336648,22614219.2485652,-15350148.9641187,2897752.49040911,21129186.1706359,-28695.3773210211,8.094396366,24
420882.434336648,23253221.756987,-409726.115605719,-26234403.7603462,-2976898.309249,-158417.823448629,11.99169832,30
420883.434336647,23926565.9100156,13421107.6372679,-7244720.82060955,21371541.4799701,62001.3740235683,20.98547206,1
420883.434336647,22775585.9141602,-5436924.92474131,-25578827.0257861,-4272313.32920356,173243.297448927,4.796679328,6
420883.434336647,22328367.2317715,-22998560.6983557,-13460986.1510672,855771.061454783,145225.883765359,2.99792458,13
420883.434336647,22053653.6191602,6964337.4454443,-19322888.5779065,16772209.5735517,-4249.51658075918,5.696056702,14
420883.434336647,23218984.3599808,-25760911.4207403,-2637658.99876055,6059193.37422169,5415.12419838247,6.295641618,15
420883.434336647,20791783.9810501,-3017731.49969184,-17145635.6530109,20462507.404679,210820.991377245,5.096471786,17
420883.434336647,20173754.6450266,-13533719.8510543,-18383356.1992101,13577503.8566063,85384.3122383797,4.796679328,19
420883.434336647,22613653.9313113,-15350707.0273461,2895032.78542083,21129195.6723569,-28695.3830692995,8.094396366,24
420883.434336647,23253837.0516645,-409307.340345882,-26234049.2845241,-2980003.27484379,-158417.823590038,10.49273603,30
420884.434336647,23927051.3750731,13421431.3561414,-7241950.75084715,21372300.1777662,62001.3716704841,20.98547206,1
420884.434336647,22774960.0097503,-5436784.32501642,-25579395.0975474,-4269131.20636654,173243.298267042,4.197094412,6
420884.434336647,22328875.7660169,-22998546.4198061,-13461255.2621756,852590.759459372,145225.885884776,3.297717038,13
420884.434336647,22053990.3734621,6966218.97067391,-19323923.4849064,16770222.1963883,-4249.51384463816,5.696056702,14
420884.434336647,23219352.9085795,-25761610.8553237,-2638212.80595881,6056227.63674696,5415.12531614968,7.195018992,15
420884.434336647,20792087.1611331,-3015468.24110049,-17144567.351013,20463772.6212942,210820.993197147,5.096471786,17
420884.434336647,20173595.8131447,-13532115.4671907,-18382637.4951703,13580006.3992044,85384.313774349,4.796679328,19
420884.434336647,22613104.772959,-15351265.2316233,2892313.11386022,21129204.7098833,-28695.3888174472,8.094396366,24
420884.434336647,23254478.9753742,-408888.506918687,-26233694.4413251,-2983108.17563527,-158417.823731479,9.293566198,30
420885.434336647,23927474.0891477,13421755.255038,-7239180.60660847,21373058.405058,62001.3693174723,23.683604182,1
420885.434336647,22774348.1353155,-5436643.7206696,-25579962.7776547,-4265948.99218298,173243.299085183,4.197094412,6
420885.434336647,22329395.5731029,-22998531.8191309,-13461524.1637233,849410.439646357,145225.888004275,2.99792458,13
420885.434336647,22054357.3166408,6968100.23274684,-19324958.3559699,16768234.4609037,-4249.5111085501,5.696056702,14
420885.434336647,23219733.9166336,-25762309.961711,-2638766.46914125,6053261.77102882,5415.12643413078,6.295641618,15
420885.434336647,20792393.5171557,-3013204.78084532,-17143499.1179328,20465037.4172583,210820.995017151,5.096471786,17
420885.434336647,20173438.4121807,-13530510.7626521,-18381918.7318148,13582508.652851,85384.3153101847,4.796679328,19
420885.434336647,22612553.4856802,-15351823.5769817,2889593.47557454,21129213.2832171,-28695.3945654644,8.094396366,24
420885.434336647,23255073.7485957,-408469.614724942,-26233339.2306832,-2986213.01231666,-158417.823872953,9.293566198,30
420886.434336647,23927832.2025161,13422079.3339655,-7236410.38794989,21373816.1618341,62001.366964533,28.780075968,1
