Rx_time,rho,X,Y,Z,B,sigma_rho,SVID
421450.433180111,24187810.7465668,13633639.8662915,-5664472.96758447,21725772.0533984,62000.1253432608,23.98339664,1
421450.433180111,22433657.9018635,-5354781.67574309,-25837905.7082851,-2455441.9845198,173243.836599703,3.897301954,6
421450.433180111,22634231.6817756,-22937933.9953788,-13581309.3616656,-948312.21636352,145227.060750403,4.197094412,13
421450.433180111,22266455.290149,7988286.72281808,-19902234.5788805,15589146.5142766,-4248.02814048926,6.295641618,14
421450.433180111,23443069.6209636,-26104013.9977652,-2929801.30847938,4358958.05548281,5415.9347702549,15.889000274,15
421450.433180111,20980886.4415257,-1703488.28167623,-16552347.154776,21111678.5682789,210822.016813166,4.197094412,17
421450.433180111,20102477.4507467,-12573107.9600381,-17968045.3039639,14948460.9784312,85385.1476838739,4.796679328,19
421450.433180111,22314807.8890812,-15689408.6256726,1360306.50965525,21059928.7262077,-28698.7204892688,6.295641618,24
421450.433180111,23615279.9914638,-161050.833996956,-25974373.9604971,-4728085.95759952,-158418.027413998,8.094396366,30
421451.433180112,24188325.3883883,13634066.1194579,-5661672.83241317,21726261.6978993,62000.123035506,20.98547206,1
421451.433180112,22433066.96769,-5354629.56582678,-25838250.8900854,-2452218.98890802,173243.83743276,3.597509496,6
421451.433180112,22634784.9932797,-22937732.7072282,-13581466.9091223,-951491.95099097,145227.062948551,2.698132122,13
421451.433180112,22266824.2575529,7990015.591258,-19903240.166715,15586962.84772,-4248.02542230347,6.295641618,14
421451.433180112,23443434.0862113,-26104523.1074362,-2930280.06287464,4355929.80413328,5415.93600843017,13.790453068,15
421451.433180112,20981235.6203827,-1701118.09808929,-16551325.1869494,21112701.5818907,210822.018687076,4.197094412,17
421451.433180112,20102371.5628254,-12571324.6740303,-17967302.031424,14950791.1441824,85385.1491440786,5.096471786,19
421451.433180112,22314306.2651221,-15690044.4119387,1357616.21000593,21059675.1417543,-28698.7261598944,7.195018992,24
421451.433180112,23615909.1765146,-160591.457662996,-25973813.4115309,-4731143.47930067,-158418.027571602,9.293566198,30
421452.433180111,24188810.3648397,13634492.5537751,-5658872.66473091,21726750.8646369,62000.1207278381,23.683604182,1
421452.433180111,22432481.0591792,-5354477.42017161,-25838595.6780046,-2448995.94082139,173243.838265844,3.597509496,6
421452.433180111,22635331.3944975,-22937531.0822608,-13581624.2728357,-954671.665701386,145227.065146776,3.297717038,13
421452.433180111,22267211.4429841,7991744.1843628,-19904245.6868606,15584778.8478869,-4248.02270414849,6.295641618,14
421452.433180111,23443859.1037146,-26105031.8744859,-2930758.69614272,4352901.46140219,5415.93724681608,18.287339938,15
421452.433180111,20981588.3590841,-1698747.73973216,-16550303.3132345,21113724.1622332,210822.020561074,4.197094412,17
421452.433180111,20102285.4285506,-12569541.0787375,-17966558.7313823,14953120.9909579,85385.1506041497,5.096471786,19
421452.433180111,22313780.6296633,-15690680.3302036,1354925.98033187,21059421.0956784,-28698.7318303774,6.295641618,24
421452.433180111,23616559.650831,-160131.997225549,-25973252.5051052,-4734200.89828177,-158418.02772923,9.293566198,30
421453.433180111,24189217.0945148,13634919.1694422,-5656072.46383831,21727239.5536812,62000.1184202566,32.97717038,1
421453.433180111,22431884.4013342,-5354325.23832236,-25838940.0721428,-2445772.84015564,173243.839098957,3.897301954,6
421453.433180111,22635888.0564434,-22937329.120368,-13581781.4530085,-957851.360249629,145227.067345076,2.99792458,13
421453.433180111,22267584.9474446,7993472.50268088,-19905251.1392161,15582594.5145889,-4248.01998602402,6.295641618,14
421453.433180111,23444282.934603,-26105540.2989202,-2931237.20911411,4349873.02672689,5415.93848541289,6.295641618,15
421453.433180111,20981931.2907631,-1696377.20630466,-16549281.5336514,21114746.3093331,210822.022435162,4.197094412,17
421453.433180111,20102176.8183954,-12567757.1735414,-17965815.4040607,14955450.5190376,85385.1520640875,5.096471786,19
421453.433180111,22313279.5990116,-15691316.380345,1352235.82113751,21059166.5880284,-28698.7375007167,7.195018992,24
421453.433180111,23617219.6878668,-159672.45225253,-25972691.241221,-4737258.2145997,-158418.027886883,9.293566198,30
421454.433180112,24189729.9215138,13635345.9658682,-5653272.23231758,21727727.7647225,62000.116112763,20.98547206,1
421454.433180112,22431292.1758446,-5354173.02066379,-25839284.0723933,-2442549.68714085,173243.839932097,3.897301954,6
421454.433180112,22636441.3679475,-22937126.82165,-13581938.4494727,-961031.034715499,145227.069543452,2.99792458,13
421454.433180112,22267971.5395684,7995200.54565206,-19906256.523792,15580409.8480659,-4248.01726793031,6.295641618,14
421454.433180112,23444685.7205289,-26106048.380775,-2931715.60164953,4346844.49996923,5415.93972422067,6.295641618,15
421454.433180112,20982292.7196729,-1694006.49840815,-16548259.8483039,21115768.0230752,210822.024309338,4.796679328,17
421454.433180112,20102079.2367778,-12565972.9590439,-17965072.049331,14957779.7281119,85385.1535238918,5.096471786,19
421454.433180112,22312743.4585218,-15691952.5624726,1349545.73192552,21058911.6187609,-28698.7431709136,7.195018992,24
421454.433180112,23617852.7119655,-159212.822750404,-25972129.6198296,-4740315.42856325,-158418.028044561,8.094396366,30
421455.433180111,24190182.9989672,13635772.9435972,-5650471.96795006,21728215.4980206,62000.1138053562,23.98339664,1
421455.433180111,22430702.5678876,-5354020.76675189,-25839627.6788381,-2439326.48183332,173243.840765265,3.597509496,6
421455.433180111,22636995.1680577,-22936924.1859018,-13582095.2625863,-964210.688984882,145227.071741905,2.698132122,13
421455.433180111,22268347.8709642,7996928.31379275,-19907261.8404458,15578224.8481986,-4248.01454986714,6.295641618,14
421455.433180111,23445101.0008107,-26106556.1199516,-2932193.87390503,4343815.88153888,5415.94096323927,6.295641618,15
421455.433180111,20982637.8500794,-1691635.615441,-16547238.2571567,21116789.3035559,210822.026183603,4.197094412,17
421455.433180111,20101973.5233588,-12564188.4348128,-17964328.6674446,14960108.6182739,85385.1549835627,5.096471786,19
421455.433180111,22312258.1679664,-15692588.8763748,1346855.71363635,21058656.1879572,-28698.7488409663,7.195018992,24
